MesContable,MesCreacion,Numero,Cuenta,TipoSaldo,TipoOrigen,Cant,Total_Importe1,Importe_cierre,Importe_operativo
b'2026-03',b'2026-03',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,6,68416561.0,0.0,68416561.0
b'2026-03',b'2026-03',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,2,1,19681797.0,0.0,19681797.0
b'2026-04',b'2026-04',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,5,62311923.0,0.0,62311923.0
b'2026-05',b'2026-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,4,57120656.0,0.0,57120656.0
b'2025-12',b'2026-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,0,1,0.88,0.88,0.0
b'2026-05',b'2026-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,2,1,1710365.0,0.0,1710365.0
b'2025-12',b'2026-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,70446691.0,0.0,70446691.0
b'2026-06',b'2026-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,4,74238089.0,0.0,74238089.0
b'2026-04',b'2026-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,1,26142695.0,0.0,26142695.0
b'2026-01',b'2026-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,1,2203515.0,0.0,2203515.0
b'2026-04',b'2026-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,2,1,26142695.0,0.0,26142695.0
b'2026-07',b'2026-07',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,1,100000.0,0.0,100000.0
b'2025-12',b'2026-07',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,11,1,57729191.44,57729191.44,0.0
b'2026-07',b'2026-07',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,57729191.44,57729191.44,0.0
b'2023-12',b'2024-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,1,14417.59,0.0,14417.59
b'2024-01',b'2024-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,9,14257480.0,0.0,14257480.0
b'2023-01',b'2024-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,3699076.0,3699076.0,0.0
b'2023-12',b'2024-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,17750084.59,0.0,17750084.59
b'2024-02',b'2024-02',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,15,26347009.0,0.0,26347009.0
b'2024-01',b'2024-02',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,22027721.0,0.0,22027721.0
b'2024-02',b'2024-02',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,2,1,3000000.0,0.0,3000000.0
b'2024-03',b'2024-03',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,8,24160148.0,0.0,24160148.0
b'2024-02',b'2024-03',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,20840713.3,20840713.3,0.0
b'2024-03',b'2024-03',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,2,1,3331745.0,0.0,3331745.0
b'2024-04',b'2024-04',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,9,25572649.0,0.0,25572649.0
b'2023-12',b'2024-04',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,10125345.86,10125345.86,0.0
b'2024-03',b'2024-04',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,24012826.9,0.0,24012826.9
b'2023-12',b'2024-05',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,11,1,11013021.0,11013021.0,0.0
b'2024-05',b'2024-05',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,9,28881285.0,0.0,28881285.0
b'2024-06',b'2024-06',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,7,37282197.0,0.0,37282197.0
b'2024-07',b'2024-07',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,7,27193635.0,0.0,27193635.0
b'2024-08',b'2024-08',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,8,28685740.0,0.0,28685740.0
b'2024-08',b'2024-09',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,1,125000.0,0.0,125000.0
b'2024-09',b'2024-09',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,11,32261556.0,0.0,32261556.0
b'2024-01',b'2024-09',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,11013021.0,11013021.0,0.0
b'2024-10',b'2024-10',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,10,31140012.0,0.0,31140012.0
