Numero,Descripcion,Movs_Total,Movs_2024,Asientos_Total,Primer_Mov,Ultimo_Mov,Debe_2024,Haber_2024
42301021,BIO MATERIALES Y HERRAMIENTAS,86,9,86,2017-10-12 17:28:56,2026-07-01 11:57:08,554982.84,548647.43
42301028,BIO SERVICIOS DE TERCEROS CONTRATADOS,3,0,3,2018-06-29 09:49:41,2019-08-13 12:17:39,0.0,0.0
42301031,BIO MANTENIMIENTO DE MAQUINARIAS,25,0,24,2018-02-21 09:41:57,2019-08-13 12:17:39,0.0,0.0
42301036,BIO SERVICIO DE LIMPIEZA Y DE MANTENIMIENTO,17,0,17,2017-11-10 10:45:07,2022-04-07 14:05:53,0.0,0.0
42301037,BIO LIBRERÍA E IMPRENTA,2,0,2,2017-10-18 13:21:27,2018-10-26 12:17:16,0.0,0.0
42301040,BIO OTROS GASTOS PERSONAL,4,0,4,2018-05-07 11:42:15,2019-08-13 12:17:39,0.0,0.0
42301050,BIO SEGUROS DE CAUCION,8,0,8,2018-05-31 13:08:22,2021-04-30 12:40:57,0.0,0.0
42301056,BIO MANTENIMIENTO,7,0,7,2018-03-13 13:09:12,2019-08-13 12:17:39,0.0,0.0
42302006,BIO GASTOS BANCARIOS,31,0,31,2017-10-11 16:23:24,2021-04-30 12:40:57,0.0,0.0
42302008,BIO FLETE INTERNO,4,0,4,2018-06-21 09:15:12,2019-08-13 12:17:39,0.0,0.0
42302009,BIO GASTOS DE LIMPIEZA,3,0,3,2018-06-05 10:24:40,2019-08-13 12:17:39,0.0,0.0
42302011,BIO HONORARIOS Y SERVICIOS DE GESTIONES,21,0,21,2017-11-09 16:03:23,2021-04-30 12:40:57,0.0,0.0
42302013,BIO IMPUESTOS INTERNOS,18,2,18,2017-10-31 17:18:36,2024-05-08 17:07:09,17119.62,28107.12
42302019,BIO LIBRERÍA E IMPRENTA,2,0,2,2017-12-12 16:06:47,2018-10-26 12:17:16,0.0,0.0
42302024,BIO TASAS E IMPUESTOS PROVINCIALES,2,0,2,2017-12-28 09:22:06,2018-10-26 12:17:16,0.0,0.0
42302030,BIO OTROS GASTOS PERSONAL ,10,0,10,2017-11-30 11:02:20,2019-08-13 12:17:39,0.0,0.0
42302031,BIO SERVICIO DE VIGILANCIA,17,0,17,2017-10-12 11:33:12,2019-08-13 12:17:39,0.0,0.0
42302032,BIO GASTOS DE CERTIFICACIONES Y ESCRIBANIA,3,0,3,2018-05-21 12:34:18,2019-08-13 12:17:39,0.0,0.0
42303003,BIO CORREO / MENSAJERIA,3,0,3,2018-08-27 16:27:32,2019-08-13 12:17:39,0.0,0.0
42303005,BIO GASTOS LEGALES,20,0,20,2017-10-19 15:44:22,2021-04-30 12:40:57,0.0,0.0
42303009,BIO SERVICIOS DE ELECTRICIDAD,21,0,21,2017-10-12 16:09:01,2019-08-13 12:17:39,0.0,0.0
42303015,BIO GASTOS DE VIAJE Y MOVILIDAD,7,0,7,2017-12-21 09:31:55,2019-08-13 12:17:39,0.0,0.0
42305001,BIO DIFERENCIA DE CAMBIO,5,2,5,2018-06-01 16:12:40,2026-07-01 11:57:08,0.01,0.01
42305004,BIO INTERESES FINANCIEROS,69,0,69,2017-10-12 08:33:04,2021-04-30 12:40:57,0.0,0.0
42305005,BIO GASTOS POR PRESTAMOS,8,0,8,2018-05-31 13:10:35,2019-08-13 12:17:39,0.0,0.0
431,IMPUESTOS A LAS GANANCIAS,25,10,25,2018-10-26 12:05:02,2026-07-01 11:57:08,1225082340.98,1225082340.98
432,IMPUESTO ESPECIAL REVALUO IMPOSITIVO,3,0,3,2020-05-28 14:48:27,2021-04-30 12:40:57,0.0,0.0
